Data;PEKAO
2005-01-03;141,5
2005-01-04;140,5
2005-01-05;135,5
2005-01-06;134
2005-01-07;134
2005-01-10;134,5
2005-01-11;133
2005-01-12;134
2005-01-13;134
2005-01-14;136
2005-01-17;136
2005-01-18;132
2005-01-19;129
2005-01-20;130,5
2005-01-21;129,5
2005-01-24;128,5
2005-01-25;130
2005-01-26;128,5
2005-01-27;128
2005-01-28;131,5
2005-01-31;133,5
2005-02-01;136
2005-02-02;134
2005-02-03;135
2005-02-04;136,5
2005-02-07;140
2005-02-08;139,5
2005-02-09;137
2005-02-10;140
2005-02-11;137,5
2005-02-14;136,5
2005-02-15;139
2005-02-16;142,5
2005-02-17;146
2005-02-18;144
2005-02-21;148
2005-02-22;144,5
2005-02-23;142,5
2005-02-24;144,5
2005-02-25;149,5
2005-02-28;147
2005-03-01;146
2005-03-02;142
2005-03-03;143,5
2005-03-04;145
2005-03-07;146
2005-03-08;145
2005-03-09;144
2005-03-10;143
2005-03-11;137,5
2005-03-14;138
2005-03-15;137,5
2005-03-16;135
2005-03-17;135
2005-03-18;137
2005-03-21;131
2005-03-22;135
2005-03-23;136,5
2005-03-24;133,5
2005-03-29;133
2005-03-30;133,5
2005-03-31;139,5
2005-04-01;137
2005-04-04;137
2005-04-05;139,5
2005-04-06;139
2005-04-07;136
2005-04-11;138
2005-04-12;137
2005-04-13;137,5
2005-04-14;137
2005-04-15;136
2005-04-18;133,5
2005-04-19;135
2005-04-20;133,5
2005-04-21;136
2005-04-22;136,5
2005-04-25;137,5
2005-04-26;134
2005-04-27;131,5
2005-04-28;130
2005-04-29;130
2005-05-02;130
2005-05-04;133
2005-05-05;132,5
2005-05-06;132
2005-05-09;133,5
2005-05-10;131
2005-05-11;124
2005-05-12;126
2005-05-13;124
2005-05-16;124
2005-05-17;127,5
2005-05-18;131,5
2005-05-19;132
2005-05-20;132
2005-05-23;130,5
2005-05-24;130
2005-05-25;130
2005-05-27;137
2005-05-30;136
2005-05-31;137
2005-06-01;135,5
2005-06-02;135,5
2005-06-03;139
2005-06-06;146
2005-06-07;147
2005-06-08;147
2005-06-09;149
2005-06-10;146,5
2005-06-13;146
2005-06-14;144,5
2005-06-15;148
2005-06-16;143
2005-06-17;147,5
2005-06-20;147
2005-06-21;147
2005-06-22;149
2005-06-23;147,5
2005-06-24;146
2005-06-27;144,5
2005-06-28;144
2005-06-29;143,5
2005-06-30;144
2005-07-01;146
2005-07-04;145
2005-07-05;144
2005-07-06;143
2005-07-07;140
2005-07-08;142,5
2005-07-11;142
2005-07-12;145,5
2005-07-13;144
2005-07-14;144
2005-07-15;143
2005-07-18;142
2005-07-19;143
2005-07-20;143
2005-07-21;141
2005-07-22;138,5
2005-07-25;140,5
2005-07-26;141
2005-07-27;145
2005-07-28;147,5
